n_comodinos,dinos_rescatados,victoria,n_turnos
3,10,True,35
3,10,True,35
3,9,False,33
3,10,True,32
3,10,True,35
3,10,True,34
3,10,True,31
3,10,True,31
3,9,False,33
3,9,False,35
3,10,True,32
3,10,True,33
3,10,True,34
3,10,True,34
3,10,True,32
3,10,True,33
3,10,True,34
3,9,False,35
3,10,True,34
3,10,True,31
3,6,False,25
3,8,False,31
3,9,False,35
3,10,True,34
3,9,False,35
3,8,False,31
3,10,True,32
3,10,True,32
3,10,True,31
3,10,True,33
3,10,True,34
3,10,True,32
3,9,False,34
3,8,False,31
3,10,True,33
3,10,True,33
3,9,False,35
3,6,False,24
3,10,True,34
3,9,False,35
3,9,False,33
3,9,False,35
3,10,True,32
3,10,True,34
3,10,True,34
3,10,True,32
3,10,True,31
3,10,True,33
3,8,False,32
3,9,False,35
3,10,True,34
3,10,True,32
3,6,False,27
3,10,True,32
3,10,True,32
3,8,False,31
3,9,False,34
3,9,False,35
3,10,True,34
3,9,False,34
3,9,False,35
3,10,True,33
3,10,True,32
3,10,True,32
3,10,True,32
3,9,False,35
3,9,False,32
3,9,False,34
3,8,False,30
3,10,True,33
3,10,True,33
3,10,True,35
3,10,True,30
3,9,False,34
3,10,True,35
3,10,True,33
3,9,False,34
3,10,True,33
3,10,True,32
3,9,False,33
3,10,True,34
3,10,True,30
3,10,True,34
3,10,True,32
3,10,True,34
3,10,True,35
3,10,True,35
3,10,True,32
3,10,True,32
3,10,True,33
3,10,True,30
3,10,True,34
3,9,False,35
3,10,True,33
3,10,True,34
3,10,True,34
3,10,True,32
3,9,False,34
3,10,True,34
3,10,True,32
3,6,False,26
3,10,True,32
3,10,True,30
3,9,False,35
3,10,True,31
3,10,True,33
3,10,True,32
3,10,True,33
3,10,True,32
3,10,True,32
3,10,True,32
3,10,True,33
3,6,False,26
3,10,True,30
3,10,True,33
3,10,True,34
3,10,True,33
3,9,False,35
3,10,True,32
3,10,True,35
3,10,True,31
3,10,True,30
3,10,True,31
3,10,True,31
3,10,True,32
3,10,True,32
3,10,True,31
3,10,True,35
3,7,False,29
3,10,True,35
3,10,True,32
3,10,True,33
3,10,True,31
3,10,True,32
3,10,True,33
3,10,True,33
3,10,True,34
3,10,True,35
3,10,True,31
3,10,True,35
3,9,False,34
3,10,True,33
3,9,False,35
3,9,False,35
3,10,True,32
3,10,True,35
3,10,True,32
3,10,True,34
3,10,True,32
3,9,False,35
3,10,True,31
3,10,True,35
3,10,True,32
3,10,True,34
3,10,True,33
3,10,True,35
3,10,True,32
3,6,False,28
3,10,True,34
3,10,True,34
3,10,True,34
3,10,True,33
3,10,True,35
3,10,True,33
3,9,False,35
3,10,True,34
3,6,False,25
3,10,True,31
3,10,True,34
3,10,True,34
3,10,True,34
3,10,True,35
3,9,False,35
3,7,False,30
3,8,False,33
3,9,False,35
3,9,False,35
3,10,True,33
3,10,True,35
3,10,True,32
3,10,True,35
3,9,False,35
3,10,True,32
3,10,True,34
3,10,True,34
3,10,True,31
3,10,True,33
3,10,True,32
3,10,True,33
3,10,True,33
3,10,True,35
3,10,True,35
3,9,False,33
3,9,False,34
3,10,True,35
3,10,True,35
3,10,True,34
3,10,True,34
3,8,False,33
3,10,True,31
3,10,True,34
3,10,True,31
3,6,False,24
3,10,True,33
3,10,True,35
3,7,False,30
3,10,True,33
3,10,True,35
3,10,True,35
3,8,False,32
3,9,False,35
3,10,True,34
3,10,True,35
3,9,False,35
3,8,False,32
3,10,True,34
3,10,True,34
3,9,False,35
3,10,True,34
3,10,True,33
3,10,True,33
3,10,True,31
3,9,False,35
3,10,True,31
3,10,True,33
3,9,False,34
3,10,True,35
3,10,True,34
3,10,True,31
3,9,False,34
3,8,False,32
3,10,True,31
3,10,True,34
3,9,False,35
3,10,True,33
3,10,True,32
3,9,False,33
3,10,True,35
3,7,False,29
3,9,False,35
3,10,True,34
3,10,True,34
3,10,True,33
3,8,False,31
3,10,True,31
3,10,True,34
3,9,False,35
3,10,True,32
3,10,True,35
3,10,True,32
3,8,False,34
3,8,False,32
3,9,False,34
3,8,False,34
3,10,True,35
3,9,False,33
3,10,True,34
3,10,True,34
3,10,True,34
3,10,True,31
3,10,True,31
3,10,True,33
3,10,True,34
3,8,False,31
3,3,False,19
3,10,True,33
3,9,False,35
3,10,True,33
3,10,True,34
3,10,True,32
3,8,False,31
3,10,True,33
3,10,True,34
3,10,True,34
3,10,True,33
3,10,True,33
3,10,True,33
3,5,False,22
3,9,False,35
3,10,True,31
3,10,True,33
3,9,False,35
3,10,True,31
3,10,True,32
3,10,True,32
3,10,True,32
3,10,True,33
3,10,True,34
3,10,True,33
3,10,True,35
3,9,False,35
3,10,True,31
3,9,False,35
3,9,False,33
3,10,True,33
3,10,True,33
3,10,True,32
3,10,True,35
3,10,True,35
3,10,True,34
3,8,False,33
3,10,True,34
3,9,False,34
3,10,True,34
3,9,False,35
3,10,True,30
3,10,True,34
3,9,False,35
3,10,True,35
3,10,True,35
3,9,False,35
3,10,True,34
3,10,True,33
3,10,True,32
3,9,False,35
3,10,True,33
3,10,True,35
3,10,True,34
3,8,False,33
3,10,True,33
3,9,False,35
3,10,True,33
3,10,True,32
3,10,True,31
3,9,False,35
3,9,False,34
3,10,True,32
3,10,True,35
3,6,False,25
3,10,True,34
3,10,True,32
3,10,True,32
3,10,True,33
3,10,True,30
3,10,True,35
3,9,False,34
3,10,True,32
3,10,True,35
3,9,False,35
3,9,False,35
3,8,False,33
3,10,True,34
3,8,False,31
3,8,False,33
3,10,True,34
3,10,True,35
3,10,True,32
3,9,False,34
3,10,True,32
3,10,True,34
3,10,True,34
3,10,True,35
3,10,True,32
3,10,True,33
3,10,True,35
3,10,True,32
3,10,True,32
3,9,False,35
3,10,True,34
3,10,True,34
3,10,True,34
3,8,False,30
3,10,True,33
3,10,True,35
3,10,True,35
3,10,True,34
3,10,True,31
3,8,False,33
3,9,False,35
3,10,True,32
3,9,False,34
3,10,True,32
3,9,False,33
3,10,True,34
3,10,True,31
3,10,True,33
3,10,True,33
3,8,False,32
3,10,True,35
3,10,True,35
3,10,True,35
3,9,False,34
3,10,True,34
3,10,True,31
3,10,True,35
3,10,True,32
3,9,False,35
3,10,True,31
3,10,True,34
3,10,True,35
3,10,True,31
3,6,False,26
3,10,True,35
3,9,False,35
3,10,True,33
3,10,True,31
3,10,True,34
3,10,True,32
3,3,False,19
3,10,True,30
3,10,True,32
3,10,True,31
3,10,True,31
3,8,False,30
3,10,True,33
3,10,True,34
3,9,False,34
3,10,True,35
3,10,True,35
3,10,True,35
3,8,False,33
3,10,True,35
3,10,True,34
3,10,True,31
3,10,True,33
3,10,True,34
3,8,False,33
3,10,True,35
3,10,True,32
3,10,True,31
3,10,True,33
3,10,True,31
3,10,True,34
3,10,True,35
3,10,True,33
3,10,True,33
3,10,True,32
3,10,True,33
3,10,True,31
3,10,True,34
3,10,True,33
3,10,True,33
3,10,True,33
3,10,True,33
3,5,False,24
3,9,False,35
3,10,True,35
3,10,True,31
3,10,True,35
3,10,True,31
3,10,True,35
3,9,False,35
3,10,True,34
3,9,False,34
3,10,True,32
3,10,True,35
3,10,True,33
3,10,True,31
3,10,True,32
3,10,True,35
3,10,True,30
3,8,False,34
3,10,True,32
3,10,True,32
3,10,True,35
3,10,True,35
3,9,False,35
3,10,True,34
3,8,False,32
3,10,True,32
3,9,False,35
3,6,False,25
3,10,True,34
3,10,True,31
3,10,True,33
3,10,True,35
3,10,True,33
3,10,True,34
3,10,True,33
3,10,True,34
3,10,True,32
3,10,True,32
3,10,True,33
3,10,True,33
3,6,False,26
3,10,True,34
3,5,False,24
3,10,True,35
3,10,True,35
3,10,True,31
3,10,True,35
3,10,True,32
3,10,True,30
3,9,False,35
3,10,True,31
3,10,True,33
3,10,True,34
3,10,True,35
3,10,True,33
3,9,False,33
3,10,True,33
3,10,True,31
3,9,False,35
3,10,True,33
3,10,True,35
3,10,True,35
3,10,True,32
3,10,True,30
3,9,False,34
3,10,True,32
3,9,False,34
3,10,True,33
3,10,True,31
3,10,True,33
3,10,True,32
3,9,False,35
3,10,True,34
3,10,True,31
3,10,True,34
3,10,True,32
3,10,True,32
3,9,False,35
3,10,True,34
3,10,True,34
3,10,True,35
3,9,False,35
3,10,True,34
3,10,True,33
3,10,True,34
3,10,True,31
3,8,False,31
3,10,True,34
3,5,False,25
3,10,True,34
3,10,True,32
3,10,True,32
3,10,True,35
3,9,False,34
3,10,True,30
3,9,False,34
3,10,True,35
3,10,True,35
3,9,False,35
3,10,True,34
3,10,True,33
3,10,True,34
3,10,True,34
3,6,False,23
3,9,False,34
3,10,True,34
3,10,True,35
3,10,True,31
3,10,True,34
3,7,False,30
3,10,True,35
3,10,True,34
3,10,True,33
3,10,True,33
3,9,False,35
3,10,True,32
3,9,False,35
3,10,True,33
3,7,False,29
3,8,False,34
3,10,True,35
3,10,True,33
3,10,True,32
3,10,True,33
3,10,True,32
3,10,True,35
3,10,True,34
3,10,True,30
3,6,False,27
3,8,False,33
3,10,True,33
3,8,False,32
3,10,True,35
3,8,False,32
3,9,False,35
3,10,True,32
3,9,False,35
3,9,False,34
3,10,True,33
3,10,True,34
3,10,True,34
3,8,False,34
3,10,True,34
3,10,True,34
3,8,False,29
3,10,True,30
3,10,True,35
3,4,False,21
3,9,False,35
3,10,True,33
3,10,True,33
3,10,True,31
3,10,True,34
3,10,True,33
3,9,False,35
3,10,True,33
3,10,True,34
3,10,True,35
3,10,True,35
3,9,False,35
3,10,True,33
3,9,False,35
3,9,False,35
3,10,True,34
3,10,True,33
3,5,False,21
3,9,False,35
3,10,True,34
3,10,True,30
3,10,True,33
3,10,True,34
3,10,True,33
3,10,True,31
3,10,True,30
3,10,True,34
3,4,False,24
3,10,True,34
3,10,True,33
3,10,True,34
3,10,True,33
3,10,True,32
3,10,True,31
3,8,False,33
3,6,False,26
3,10,True,34
3,9,False,34
3,10,True,33
3,10,True,31
3,10,True,32
3,10,True,34
3,10,True,34
3,8,False,33
3,9,False,35
3,10,True,35
3,10,True,35
3,9,False,34
3,10,True,32
3,10,True,33
3,10,True,31
3,10,True,32
3,10,True,30
3,9,False,35
3,10,True,34
3,10,True,34
3,10,True,31
3,10,True,33
3,10,True,34
3,10,True,35
3,10,True,32
3,9,False,34
3,10,True,34
3,10,True,34
3,10,True,31
3,5,False,21
3,9,False,35
3,9,False,35
3,10,True,30
3,10,True,35
3,10,True,34
3,10,True,34
3,9,False,35
3,10,True,31
3,10,True,34
3,10,True,32
3,10,True,35
3,10,True,35
3,4,False,20
3,10,True,31
3,10,True,30
3,10,True,31
3,10,True,35
3,10,True,34
3,10,True,33
3,8,False,30
3,10,True,30
3,8,False,34
3,10,True,32
3,8,False,33
3,10,True,32
3,10,True,35
3,10,True,35
3,10,True,35
3,10,True,32
3,10,True,35
3,9,False,34
3,10,True,33
3,10,True,35
3,10,True,33
3,9,False,33
3,10,True,33
3,10,True,34
3,10,True,34
3,6,False,28
3,10,True,33
3,10,True,33
3,10,True,31
3,10,True,34
3,6,False,27
3,10,True,31
3,10,True,33
3,9,False,35
3,10,True,34
3,10,True,34
3,10,True,33
3,10,True,35
3,10,True,35
3,10,True,32
3,10,True,33
3,10,True,34
3,8,False,33
3,10,True,34
3,8,False,31
3,10,True,32
3,10,True,35
3,10,True,35
3,10,True,34
3,9,False,33
3,9,False,35
3,10,True,34
3,10,True,31
3,10,True,31
3,10,True,33
3,10,True,32
3,9,False,35
3,10,True,34
3,9,False,35
3,10,True,34
3,7,False,32
3,10,True,34
3,10,True,32
3,10,True,35
3,10,True,30
3,9,False,35
3,10,True,31
3,10,True,33
3,10,True,30
3,10,True,34
3,5,False,24
3,10,True,32
3,10,True,32
3,10,True,34
3,10,True,34
3,10,True,34
3,7,False,30
3,10,True,34
3,10,True,34
3,10,True,35
3,10,True,31
3,10,True,33
3,8,False,32
3,10,True,33
3,10,True,35
3,10,True,34
3,10,True,31
3,10,True,35
3,10,True,34
3,6,False,27
3,9,False,35
3,6,False,28
3,10,True,35
3,10,True,33
3,10,True,34
3,10,True,34
3,9,False,34
3,8,False,32
3,9,False,35
3,10,True,33
3,8,False,32
3,10,True,35
3,10,True,35
3,6,False,26
3,10,True,33
3,10,True,31
3,10,True,32
3,10,True,35
3,10,True,33
3,10,True,35
3,9,False,35
3,8,False,33
3,10,True,34
3,10,True,35
3,10,True,35
3,10,True,31
3,10,True,32
3,10,True,32
3,10,True,33
3,10,True,31
3,10,True,31
3,10,True,33
3,8,False,33
3,9,False,35
3,8,False,32
3,10,True,33
3,10,True,35
3,10,True,34
3,10,True,33
3,4,False,22
3,10,True,35
3,10,True,33
3,10,True,33
3,9,False,35
3,10,True,35
3,9,False,35
3,10,True,34
3,10,True,33
3,9,False,34
3,9,False,35
3,10,True,35
3,10,True,34
3,10,True,35
3,9,False,35
3,10,True,32
3,10,True,35
3,10,True,32
3,10,True,31
3,10,True,32
3,10,True,34
3,10,True,31
3,10,True,34
3,10,True,34
3,10,True,33
3,10,True,35
3,10,True,34
3,10,True,35
3,10,True,33
3,10,True,30
3,10,True,35
3,8,False,31
3,10,True,33
3,10,True,35
3,10,True,35
3,10,True,33
3,10,True,33
3,10,True,32
3,10,True,32
3,9,False,33
3,9,False,35
3,10,True,31
3,10,True,33
3,9,False,35
3,10,True,33
3,10,True,33
3,10,True,33
3,10,True,35
3,9,False,35
3,10,True,31
3,9,False,34
3,10,True,35
3,10,True,34
3,10,True,32
3,9,False,35
3,9,False,35
3,10,True,31
3,10,True,32
3,9,False,35
3,8,False,33
3,10,True,35
3,10,True,35
3,10,True,31
3,10,True,30
3,10,True,34
3,10,True,35
3,10,True,34
3,10,True,34
3,10,True,34
3,10,True,33
3,10,True,31
3,10,True,34
3,9,False,35
3,10,True,33
3,10,True,32
3,10,True,32
3,8,False,33
3,6,False,28
3,10,True,34
3,10,True,34
3,10,True,34
3,10,True,35
3,9,False,34
3,10,True,34
3,10,True,35
3,8,False,32
3,6,False,27
3,5,False,23
3,10,True,34
3,10,True,35
3,10,True,35
3,9,False,35
3,8,False,33
3,10,True,31
3,10,True,33
3,10,True,32
3,10,True,34
3,8,False,33
3,10,True,33
3,10,True,32
3,10,True,35
3,10,True,34
3,9,False,34
3,10,True,32
3,10,True,33
3,9,False,35
3,8,False,32
3,10,True,34
3,10,True,32
3,10,True,33
3,10,True,33
3,10,True,34
3,9,False,35
3,10,True,34
3,9,False,35
3,10,True,34
3,10,True,35
3,9,False,34
3,10,True,35
3,10,True,32
3,7,False,28
3,10,True,34
3,9,False,35
3,10,True,34
3,10,True,35
3,10,True,33
3,9,False,35
3,10,True,32
3,10,True,32
3,10,True,32
3,7,False,31
3,8,False,32
3,10,True,34
3,7,False,27
3,8,False,29
3,10,True,34
3,9,False,34
3,10,True,35
3,8,False,31
3,10,True,33
3,10,True,32
3,10,True,33
3,10,True,32
3,10,True,33
3,10,True,33
3,9,False,34
3,10,True,33
3,10,True,34
3,10,True,35
3,10,True,34
3,10,True,34
3,10,True,32
3,10,True,30
3,10,True,33
3,10,True,35
3,10,True,34
3,10,True,32
3,10,True,31
3,10,True,32
3,8,False,31
3,10,True,35
3,10,True,33
3,9,False,35
3,10,True,33
3,8,False,34
3,10,True,30
3,10,True,35
3,10,True,34
3,6,False,27
3,10,True,34
3,10,True,31
3,10,True,32
3,10,True,34
3,10,True,31
3,10,True,32
3,10,True,33
3,10,True,33
3,10,True,34
3,10,True,33
3,10,True,33
3,8,False,32
3,9,False,35
3,10,True,30
3,9,False,34
3,10,True,33
3,10,True,33
3,9,False,35
3,10,True,31
3,10,True,33
3,10,True,34
3,10,True,35
3,10,True,32
3,10,True,34
3,10,True,33
3,10,True,31
3,10,True,32
3,10,True,35
3,10,True,34
3,10,True,34
3,10,True,32
3,10,True,34
3,10,True,35
3,10,True,34
3,10,True,31
3,10,True,34
3,10,True,31
3,10,True,33
3,10,True,32
3,8,False,32
3,10,True,33
3,10,True,33
3,10,True,33
3,10,True,33
3,10,True,33
3,4,False,18
3,9,False,35
3,10,True,32
3,10,True,35
3,10,True,35
3,10,True,33
3,10,True,31
3,10,True,32
3,10,True,31
3,10,True,33
3,10,True,34
3,10,True,34
3,7,False,30
3,10,True,33
3,10,True,35
3,7,False,28
3,10,True,33
3,10,True,35
3,10,True,34
3,10,True,32
3,10,True,32
3,9,False,34
3,9,False,35
3,10,True,35
3,4,False,22
3,10,True,31
3,9,False,35
3,10,True,33
3,10,True,35
3,10,True,32
3,9,False,33
3,10,True,34
3,10,True,35
3,9,False,35
3,9,False,35
3,10,True,34
3,10,True,35
3,10,True,33
3,10,True,33
3,10,True,35
3,10,True,33
